Console,Title,Licensee,Released
GB,1942,Capcom,2000-05-01
GB,2-in-1 Asteroids / Missile Command,Nintendo,1995-07-01
GB,2-in-1 Centipede / Millipede,Nintendo,1995-08-01
GB,2-in-1 Defender / Joust,Nintendo,1995-10-01
GB,2-in-1 Galaga / Galaxian,Nintendo,1995-09-01
GB,4-in-1 Funpak: Volume 1,Interplay,1992-09-01
GB,4-in-1 Funpak: Volume 2,Interplay,1993-08-01
GB,A*mazing Tater,Atlus Software,1992-02-01
GB,Adventure Island,Hudson Soft,1992-02-01
GB,Adventure Island II: Aliens in Paradise,Hudson Soft,1993-02-01
GB,Aerostar,Vic Tokai,1991-09-01
GB,Alfred Chicken,Mindscape,1994-02-01
GB,Alien vs. Predator: The Last of His Clan,Activision,1993-11-01
GB,Alien3,LJN,1993-01-01
GB,All-Star Baseball '99,Acclaim,1998-05-01
GB,All-Star Baseball 2000,Acclaim,1999-05-01
GB,Alleyway,Nintendo,1989-08-01
GB,Altered Space,Sony Imagesoft,1991-09-01
GB,Amazing Penguin,Natsume,1990-12-01
GB,Animaniacs,Konami,1995-07-01
GB,Antz,Infogrames,1999-10-01
GB,Arcade Hit: 720 Degrees,Midway,1999-03-01
GB,Arcade Hit: Defender/Joust,Midway,1999-03-01
GB,Arcade Hit: Spy Hunter/Moon Patrol,Midway,1999-05-01
GB,Asteroids,Accolade,1992-02-01
GB,Atomic Punk,Hudson Soft,1991-10-01
GB,Attack of the Killer Tomatoes,THQ,1992-01-01
GB,Avenging Spirit,Jaleco,1992-12-01
GB,Azure Dreams,Konami,2000-02-01
GB,Babe and Friends,Crave Entertainment,1999-11-01
GB,Ballistic,Infogrames,1999-11-01
GB,Balloon Kid,Nintendo,1990-10-01
GB,Barbie Fashion Pack Games,Mattel,2000-09-01
GB,Barbie Game Girl,Hi-Tech,1992-10-01
GB,Barbie: Ocean Discovery,Mattel,1999-05-01
GB,Bart Simpson's Escape from Camp Deadly,Acclaim,1991-11-01
GB,Baseball,Nintendo,1989-08-01
GB,Bases Loaded,Jaleco,1990-07-01
GB,Bassmasters 2000,THQ,1999-11-01
GB,Batman,Sunsoft,1990-06-01
GB,Batman Forever,Acclaim,1995-08-01
GB,Batman: Return of the Joker,Sunsoft,1992-05-01
GB,Batman: The Animated Series,Konami,1993-11-01
GB,Battle Arena Toshinden,Nintendo,1996-11-01
GB,Battle Bull,Seta,1991-01-01
GB,Battle Unit Zeoth,Jaleco,1991-07-01
GB,Battle Zone/Super Breakout,Black Pearl Software,1996-10-01
GB,Battleship,Mindscape,1992-12-01
GB,Battletoads,Tradewest,1991-11-01
GB,Battletoads & Double Dragon: The Ultimate Team,Tradewest,1993-12-01
GB,Battletoads in Ragnarok's World,Tradewest,1993-06-01
GB,Beauty and the Beast,Nintendo,1999-10-01
GB,Beavis and Butthead,GT Interactive,1999-03-01
GB,Beetlejuice,LJN,1992-01-01
GB,Best of the Best: Championship Karate,Electro Brain,1992-12-01
GB,Bill & Ted's Excellent Game Boy Adventure,LJN,1991-08-01
GB,Bill Elliot's Nascar Fast Tracks,Konami,1991-12-01
GB,Bionic Battler,Electro Brain,1992-11-01
GB,Bionic Commando,Capcom,1992-10-01
GB,Black Bass Lure Fishing,Hot-B,1994-01-01
GB,Blades of Steel,Ultra Soft,1991-08-01
GB,Blaster Master Boy,Sunsoft,1992-02-01
GB,Blaster Master: Enemy Below,Sunsoft,2000-08-01
GB,Bo Jackson's Hit and Run! Baseball and Football,THQ,1991-06-01
GB,Boggle Plus,Parker Brothers,1992-02-01
GB,Bomberman GB,Nintendo,1998-04-01
GB,Bomberman Quest,Electro Brain,1999-11-01
GB,Bonk's Adventure,Hudson Soft,1992-12-01
GB,Bonk's Revenge,Hudson Soft,1994-11-01
GB,Boomer's Adventure in Asmik World,Asmik,1990-04-01
GB,Boxxle,FCI,1990-02-01
GB,Boxxle II,FCI,1992-06-01
GB,Brain Drain,Acclaim,1998-03-01
GB,Brainbender,Electro Brain,1991-11-01
GB,Bram Stoker's Dracula,Sony Imagesoft,1993-09-01
GB,BreakThru!,Spectrum Holobyte,1995-01-01
GB,Bubble Bobble,Taito Software,1991-03-01
GB,Bubble Bobble: Part 2,Taito Software,1993-07-01
GB,Bubble Ghost,FCI,1990-11-01
GB,Bubsy 2,SVG Distribution,1998-08-01
GB,Bugs Bunny: Crazy Castle 3,Nintendo,1999-01-01
GB,Burai Fighter Deluxe,Taxan,1991-01-01
GB,Burgertime Deluxe,Data East,1991-03-01
GB,Bust-A-Move 4,Acclaim,1999-06-01
GB,Bust-A-Move II,Acclaim,1998-02-01
GB,Buster Bros.,Hudson Soft,1993-10-01
GB,Caesar's Palace,Virgin Interactive,1991-06-01
GB,Captain America and the Avengers,Mindscape,1994-02-01
GB,Casino Funpak,Interplay,1995-01-01
GB,Casper,Natsume,1996-11-01
GB,Castelian,Triffix,1991-05-01
GB,Castlevania II: Belmont's Revenge,Konami,1991-08-01
GB,Castlevania Legends,Konami,1998-03-01
GB,Castlevania: The Adventure,Konami,1989-12-01
GB,Catrap,Asmik,1990-09-01
GB,Centipede,Accolade,1992-12-01
GB,Championship Pool,Mindscape,1993-11-01
GB,Chase HQ,Taito Software,1990-12-01
GB,Choplifter II,JVC,1991-09-01
GB,Chuck Rock,Sony Imagesoft,1993-12-01
GB,Cliffhanger,Sony Imagesoft,1993-12-01
GB,College Slam,Acclaim,1996-03-01
GB,Conker's Pocket Tales,Nintendo,1999-06-01
GB,Contra: The Alien Wars,Konami,1994-10-01
GB,Cool Ball,Takara,1994-08-01
GB,Cool Spot,Virgin Interactive,1994-10-01
GB,Cool World,Ocean,1993-06-01
GB,Cosmo Tank,Atlus Software,1990-09-01
GB,Crystal Quest,Data East,1991-09-01
GB,CutThroat Island,Acclaim,1996-01-01
GB,Cyraid,Ascii,1991-03-01
GB,Daedalian Opus,Vic Tokai,1990-07-01
GB,Daffy Duck: Fowl Play,Sunsoft,1999-12-01
GB,Daffy Duck: The Marvin Missions,Sunsoft,1995-01-01
GB,Darkman,Ocean,1992-12-01
GB,Darkwing Duck,Capcom,1993-02-01
GB,Days of Thunder,Mindscape,1992-02-01
GB,Dead Heat Scramble,Electro Brain,1990-12-01
GB,Deja Vu 1 & 2,Kemco,1999-12-01
GB,Dennis the Menace,Ocean,1994-02-01
GB,Desert Strike: Return to the Gulf,Malibu Games,1995-02-01
GB,Dexterity,SNK,1990-07-01
GB,Dick Tracy,Bandai,1991-12-01
GB,Dig Dug,Namco,1992-09-01
GB,Disney's A Bug's Life,THQ,1998-12-01
GB,Disney's Aladdin,THQ,1995-10-01
GB,Disney's Mulan,THQ,1998-10-01
GB,Disney's Pinocchio,Black Pearl Software,1996-10-01
GB,Donkey Kong,Nintendo,1994-06-01
GB,Donkey Kong Land,Nintendo,1995-06-01
GB,Donkey Kong Land 2: Diddy's Kong Quest,Nintendo,1996-09-01
GB,Donkey Kong Land 3,Nintendo,1997-10-01
GB,Double Dragon,Tradewest,1990-08-01
GB,Double Dragon II,Acclaim,1991-12-01
GB,Double Dragon III: The Arcade Game,Acclaim,1992-08-01
GB,Double Dribble: 5 on 5,Konami,1991-12-01
GB,Dr. Franken,Kemco,1992-12-01
GB,Dr. Franken II,Jaleco,1997-10-01
GB,Dr. Mario,Nintendo,1990-12-01
GB,Dragon Dance,Infogrames,2000-08-01
GB,Dragon Warrior 1 & 2,Enix,2000-09-01
GB,Dragon Warrior Monster 2: Cobi's Journey,Enix,2001-09-01
GB,Dragon Warrior Monsters,Eidos,2000-01-01
GB,Dragon Warriors Monsters 2: Tara's Adventure,Enix,2001-09-01
GB,Dragon's Lair: The Legend,Sony Imagesoft,1991-01-01
GB,Dragonheart,Acclaim,1996-05-01
GB,DuckTales,THQ,1990-11-01
GB,DuckTales 2,Nintendo,1993-11-01
GB,Earthworm Jim,Playmates,1995-09-01
GB,Earthworm Jim: Menace 2 The Galaxy,Crave Entertainment,1999-11-01
GB,Elevator Action,Taito Software,1991-12-01
GB,Elite Soccer,Gametek,1994-08-01
GB,Elmo's 123's,Newkidco,1999-03-01
GB,Elmo's ABC's,Newkidco,1999-03-01
GB,Evel Knievel,Take 2 Interactive,1999-12-01
GB,Extra Bases,Bandai,1991-04-01
GB,F-1 Race,Nintendo,1991-02-01
GB,F-15 Strike Eagle,Microprose,1993-06-01
GB,F1 Pole Position,UBI Soft,1993-12-01
GB,Faceball 2000,Bullet Proof Software,1991-12-01
GB,Fastest Lap,NTVIC,1992-02-01
GB,Felix the Cat,Hudson Soft,1993-07-01
GB,Ferrari Grand Prix Challenge,Acclaim,1992-09-01
GB,FIFA International Soccer,Malibu Games,1995-02-01
GB,FIFA Road to World Cup '98,THQ,1997-12-01
GB,FIFA Soccer '96,Black Pearl Software,1995-12-01
GB,FIFA Soccer '97,THQ,1996-11-01
GB,Fighting Simulator 2-in-1,Culture Brain,1992-04-01
GB,Final Fantasy Adventure,Square Soft,1991-11-01
GB,Final Fantasy Legend,Square Soft,1990-09-01
GB,Final Fantasy Legend II,Square Soft,1991-11-01
GB,Final Fantasy Legend III,Square Soft,1993-08-01
GB,Fish Dude,Sofel,1991-04-01
GB,Fist of the North Star,Electro Brain,1990-04-01
GB,Flipull,Taito Software,1990-04-01
GB,Foreman For Real,Acclaim,1995-09-01
GB,Fortified Zone,Jaleco,1991-09-01
GB,Frank Thomas' Big Hurt Baseball,Acclaim,1995-12-01
GB,Frogger,Majesco,1998-08-01
GB,Game & Watch Gallery,Nintendo,1997-05-01
GB,Game & Watch Gallery 2,Nintendo,1998-11-01
GB,Game & Watch Gallery 3,Nintendo,1999-12-01
GB,Gargoyle's Quest,Capcom,1990-07-01
GB,Gauntlet II,Mindscape,1991-09-01
GB,Gear Works,Sony Imagesoft,1993-10-01
GB,George Foreman's KO Boxing,Acclaim,1992-09-01
GB,Gex 3: Deep Pocket Gecko,Eidos Interactive,1999-12-01
GB,Gex: Enter the Gecko,Crave Entertainment,1998-12-01
GB,Ghostbusters II,Activision,1990-12-01
GB,Ghosts 'N Goblins,Capcom,2000-01-01
GB,Go! Go! Tank,Electro Brain,1991-05-01
GB,Goal!,Jaleco,1993-08-01
GB,Godzilla,Crave Entertainment,1999-12-01
GB,Godzilla,Toho,1990-10-01
GB,Golf,Nintendo,1990-02-01
GB,Gradius: The Interstellar Assault,Konami,1992-01-01
GB,Grand Theft Auto,Take 2 Interactive,1999-11-01
GB,Great Greed,Namco,1993-04-01
GB,Gremlins 2: The New Batch,Sunsoft,1991-01-01
GB,Hal Wrestling,Hal America,1990-12-01
