Console,Title,Licensee,Released
SNES,5-in-1 Super Mario All-Stars/Super Mario World,Nintendo,1994-12-01
SNES,A.S.P.: Air Strike Patrol,Seta,1995-01-01
SNES,Aaahh!!! Real Monsters,Majesco,1995-11-01
SNES,ABC's Monday Night Football,Data East,1993-12-01
SNES,ACME Animation Factory,Sunsoft,1994-11-01
SNES,ActRaiser,Enix,1991-11-01
SNES,ActRaiser 2,Enix,1993-11-01
SNES,Addams Family Values,Ocean,1995-02-01
SNES,Adventures of Dr. Franken,DTMC,1993-12-01
SNES,Adventures of Yogi Bear,Cybersoft,1994-10-01
SNES,Aero Fighters,Video System,1994-11-01
SNES,Aero the Acro-bat,Sunsoft,1993-10-01
SNES,Aero the Acro-bat 2,Sunsoft,1994-11-01
SNES,Aerobiz,Koei,1993-02-01
SNES,Aerobiz SuperSonic,Koei,1994-08-01
SNES,Air Cavalry,Cybersoft,1995-06-01
SNES,Al Unser Jr.'s Road To The Top,Mindscape,1994-11-01
SNES,Alfred Chicken,Mindscape,1994-02-01
SNES,Alien vs. Predator,Activision,1993-09-01
SNES,Alien3,LJN,1993-05-01
SNES,American Gladiators,Gametek,1993-04-01
SNES,An American Tail: Fievel Goes West,Hudson Soft,1994-08-01
SNES,Andre Agassi Tennis,TecMagik,1994-05-01
SNES,Animaniacs,Konami,1994-11-01
SNES,Arcade's Greatest Hits: Atari Collection,Midway,1997-08-01
SNES,Arcana,Hal America,1992-05-01
SNES,Ardy Lightfoot,Titus,1996-02-01
SNES,Arkanoid: Doh It Again,Nintendo,1997-11-01
SNES,Art of Fighting,Takara,1993-12-01
SNES,Axelay,Konami,1992-09-01
SNES,B.O.B.,Electronic Arts,1993-06-01
SNES,Ballz 3-D,Accolade,1994-11-01
SNES,Barbie Super Model,Hi-Tech,1993-12-01
SNES,Bass Masters Classic,Malibu Games,1995-06-01
SNES,Bass Masters Classic: Pro Edition,Black Pearl Software,1996-07-01
SNES,Bassin's Black Bass with Hank Parker,Hot-B,1994-11-01
SNES,Batman Forever,Acclaim,1995-08-01
SNES,Batman Returns,Konami,1993-04-01
SNES,Battle Blaze,American Sammy,1993-12-01
SNES,Battle Cars,Namco,1993-12-01
SNES,Battle Clash,Nintendo,1992-10-01
SNES,Battle Grand Prix,Hudson Soft,1993-04-01
SNES,Battletoads & Double Dragon: The Ultimate Team,Tradewest,1993-10-01
SNES,Battletoads in Battlemaniacs,Tradewest,1993-06-01
SNES,Bazooka Blitzkrieg,Bandai,1992-11-01
SNES,Beavis and Butt-Head,Majesco,1994-11-01
SNES,Bebe's Kids,Mandingo,1994-04-01
SNES,Beethoven's 2nd,Hi-Tech,1993-12-01
SNES,Best of the Best: Championship Karate,Electro Brain,1992-11-01
SNES,Big Sky Trooper,JVC,1995-10-01
SNES,Biker Mice from Mars,Konami,1994-12-01
SNES,Bill Laimbeer's Combat Basketball,Hudson Soft,1991-11-01
SNES,Bill Walsh College Football,EA Sports,1994-02-01
SNES,BioMetal,Activision,1993-11-01
SNES,Blackthorne,Interplay,1994-09-01
SNES,Blastris/LazerBlazer,Nintendo,1992-02-01
SNES,Blazeon: The Bio-Cyborg Challenge,Atlus Software,1992-10-01
SNES,Bonkers,Capcom,1994-10-01
SNES,Boogerman: A Pick and Flick Adventure,Interplay,1995-12-01
SNES,Boxing Legends of the Ring,Electro Brain,1993-09-01
SNES,Brain Lord,Enix,1994-08-01
SNES,Bram Stoker's Dracula,Sony Imagesoft,1993-09-01
