Console,Title,Licensee,Released
GBC,10 Pin Bowling,Majesco,1999-08-01
GBC,1942,Capcom,2000-05-01
GBC,3D Ultra Thrillride Pinball,Havas Interactinve,2000-12-01
GBC,Action Man: Search For Base X,THQ,2001-02-01
GBC,Airforce Delta,Konami,2000-11-01
GBC,Aliens: Thanatos Encounter,THQ,2001-03-01
GBC,All-Star Baseball 2000,Acclaim,1999-05-01
GBC,All-Star Baseball 2001,Acclaim,2000-06-01
GBC,Alone in the Dark,Infogrames,2001-06-01
GBC,Animorphs,Ubi Soft,2000-11-01
GBC,Antz Racing,Acclaim,2001-06-01
GBC,Armada FX Racers,Metro 3D Studios,2000-09-01
GBC,Armorines,Acclaim,1999-12-01
GBC,Army Men,3DO,2000-02-01
GBC,Army Men: Air Combat,3DO,2000-11-01
GBC,Army Men: Portal Runner,3DO,2001-09-01
GBC,Army Men: Sarge's Heroes 2,3DO,2000-11-01
GBC,Aurthur's Absolutely Fun Day,Mattel,2000-09-01
GBC,Austin Powers: Oh Behave,Take 2 Interactive,2000-09-01
GBC,Austin Powers: Welcome to my Underground Lair,Take 2 Interactive,2000-09-01
GBC,Barbie Kelly Club,Mattel,
GBC,Barbie Magic Genie,Mattel,2000-11-01
GBC,Barbie Pet Rescue,Mattel,2001-09-01
GBC,Batman Beyond: Return of the Joker,Kemco,2000-11-01
GBC,Batman: Chaos in Gotham City,Ubi Soft,2001-03-01
GBC,Battletanx,3DO,2000-03-01
GBC,Billy Bob's Huntin' and Fishing,Midway,1999-11-01
GBC,Bionic Commando: Elite Forces,Nintendo,2000-01-01
GBC,Blade,Activision,2000-12-01
GBC,Blue's Clues Alphabet Book,Mattel,2001-01-01
GBC,Bob the Builder,THQ,2001-09-01
GBC,Bomberman Max: Blue Champion,Vatical Entertainment,2000-05-01
GBC,Bomberman Max: Red Chamion,Vatical Entertainment,2000-05-01
GBC,Buffy the Vampire Slayer,THQ,2000-09-01
GBC,Bugs Bunny Crazy Castle 4,Kemco,2000-07-01
GBC,Bust A Move Milenium,Acclaim,2000-10-01
GBC,Buzz Lightyear of Star Command,Activision,2000-11-01
GBC,Caesar's Palace 2,Interplay,1999-07-01
GBC,Cannon Fodder,Codemasters,2000-12-01
GBC,Carmageddon: Carpalypse Now,Titus,2000-04-01
GBC,Casper the Friendly Ghost,Interplay,2000-05-01
GBC,Catwoman,Kemco,1999-12-01
GBC,Catz,Mindscape,1999-12-01
GBC,Championship Motocross2 featuring Ricky Carmichael,THQ,2000-10-01
GBC,Chicken Run,THQ,2000-11-01
GBC,Commander Keen,Activision,2001-05-01
GBC,Croc,THQ,2000-06-01
GBC,Croc 2,THQ,2001-01-01
GBC,Cruis'n Exotica,Midway,2000-11-01
GBC,Crystalis,Nintendo,2000-06-01
GBC,Cubix: Robots for Everyone Race n' Robots,3DO,2001-11-01
GBC,Cybertiger,Electronic Arts,2000-11-01
GBC,Dave Mirra Freestyle BMX,Acclaim,2000-11-01
GBC,Deer Hunter,Vatical Entertainment,1999-12-01
GBC,Dexter's Laboratory: Robot Rampage,Bay Area Multimedia,2001-01-01
GBC,Disney's Aladdin,Ubi Soft,2000-11-01
GBC,Disney's Atlantis: The Lost Empire,THQ,2001-06-01
GBC,Disney's Tarzan,Activision,1999-06-01
GBC,Disney's The Emperor's New Groove,Ubi Soft,2000-12-01
GBC,Disney's: 102 Dalmations,Eidos,2000-12-01
GBC,Disney's: The Jungle Book,Ubi Soft,2000-11-01
GBC,Disney's: Toy Story Racer,Activision,2001-03-01
GBC,"Disney/Pixar Monsters, Inc",THQ,2001-10-01
GBC,Disneys: Alice in Wonderland,Nintendo,2000-09-01
GBC,Disneys: Dinosaur,Ubi Soft,2000-05-01
GBC,Diva Starz: Mall Mania,Universal Interactive Studios,2001-11-01
GBC,Dogz,Mindscape,1999-12-01
GBC,Donkey Kong Country,Nintendo,2000-11-01
GBC,Doug's Big Game,NewKidco,2000-12-01
GBC,Dracula: Crazy Vampire,Dreamcatcher Interactive,2001-10-01
GBC,Dragon Ball Z: Legendary Super Warriors,Infogrames,2002-11-01
GBC,Dragon Tales Adventure,NewKidco,2001-11-01
GBC,Dragon Tales: Dragon Wings,NewKidco,2000-12-01
GBC,Dragon Warrior 3,Enix,2001-07-01
GBC,Dragon's Lair,Capcom,2001-02-01
GBC,Driver: You are the Wheelman,GT Interactive,2000-04-01
GBC,Duke Nukem,GT Interactive,1999-09-01
GBC,Dukes of Hazzard,Southpeak Interactive,2000-11-01
GBC,ECW Hardcore Revolution,Acclaim,2000-02-01
GBC,Elmo in Grouchland,NewKidco,1999-10-01
GBC,ESPN International Track & Field,Konami,2000-09-01
GBC,ESPN National Hockey Night,Konami,2001-02-01
GBC,ET and the Cosmic Garden,Newkidco,
GBC,ET: Digital Companion,NewKidco,2001-12-01
GBC,ET: Escape From Planet Earth,NewKidco,2001-12-01
GBC,F-1 2000,EA Sports,2000-12-01
GBC,F-18 Thunder Strike,Majesco,2000-05-01
GBC,Fisher Price Rescue Heroes Fire Frenzy,Mattel,2001-01-01
GBC,Force 21,Red Storm,2000-12-01
GBC,Frogger 2,Majesco,2000-09-01
GBC,Galaga,Majesco,2000-09-01
GBC,Galaxian,Majesco,
GBC,Gladiator,Sierra,
GBC,Gobs of Games,3DO,2000-09-01
GBC,Godzilla: The Series-Monster Wars,Crave,2000-12-01
GBC,Gold and Glory: The Road to El Dorado,Ubi Soft,2000-06-01
GBC,Grand Theft Auto 2,Take 2 Interactive,2000-12-01
GBC,Hamtaro: Ham Hams Unite!`,Nintendo,
GBC,Harley Davidson: Race Across America,Infogrames,2000-12-01
GBC,Harry Potter and the Chamber of Secrets,Electronic Arts,2002-11-01
GBC,Harry Potter and the Sorcerer's Stone,Electronic Arts,2001-11-01
GBC,Harvest Moon 3,Natsume,2001-11-01
GBC,Hercules,Titus,2002-04-01
GBC,Heroes of Might and Magic,3DO,2000-06-01
GBC,Heroes of Might and Magic 2,3DO,2000-12-01
GBC,Hoyle Card Games,Havas Interactinve,2000-12-01
GBC,Hoyle Casino,Havas Interactinve,2000-10-01
GBC,Indiana Jones and the Infernal Machine,THQ,2001-03-01
GBC,Inspector Gadget,Ubi Soft,2001-03-01
GBC,Jeremy McGrath's Supercross 2000,Acclaim,2000-03-01
GBC,Jim Henson's Muppets,Take 2 Interactive,2000-04-01
GBC,Jumpstart Dino Adventure Field Trip,Knowledge Adventure,2001-11-01
GBC,Ken Griffey Jr's Slugfest,Nintendo,1999-06-01
GBC,Kirby's Tilt n Tumble,Nintendo,2001-04-01
GBC,Klax,Midway,1999-04-01
GBC,Knockout Kings,EA Sports,1999-12-01
GBC,Lego Alpha Team,Lego Media,2000-11-01
GBC,Lego Island 2: Bricksters Revenge,Lego Media,2001-03-01
GBC,Lego Racers,Lego Media,2001-01-01
GBC,Lego Stunt Rally,Lego Media,2001-01-01
GBC,Lemmings,Take 2 Interactive,2000-12-01
GBC,Lil' Monsters,Agetec,2000-08-01
GBC,Little Nicky,Ubi Soft,2000-12-01
GBC,Logical,Sunsoft,1999-04-01
GBC,Looney Tunes Collector: Alert!,Infogrames,2000-06-01
GBC,Looney Tunes Racing,Infogrames,2000-12-01
GBC,Lucky Luke,Infogrames,1999-07-01
GBC,Lufia: The legend Returns,Natsume,2001-09-01
GBC,M and M's Minis Madness,Majesco,2000-12-01
GBC,Madden NFL 2001,Electronic Arts,2000-11-01
GBC,Madden NFL 2002,Electronic Arts,2001-09-01
GBC,Magi-Nation,Interactive Imagination,2001-03-01
GBC,Magical Drop,Classified Games,2000-10-01
GBC,Magical Tetris Challenge,Capcom,2000-02-01
GBC,Marble Madness,Midway,1999-12-01
GBC,Mario Golf,Nintendo,1999-10-01
GBC,Mario Tennis,Nintendo,2000-01-01
GBC,Marvin Strikes Back,Infogrames,2000-12-01
GBC,Mary Kate and Ashley Crush Course,Acclaim,2001-11-01
GBC,Mary Kate and Ashley winner's Circle,Acclaim,2001-03-01
GBC,Mask of Zorro,Sunsoft,1999-12-01
GBC,Mat Hoffman BMX Pro Racer,Activision,
GBC,Matchbox Emergency Patrol,Mattel,2001-06-01
GBC,Mega Man Extreme 2,Capcom,2001-11-01
GBC,Men in Black 2,Crave,2000-07-01
GBC,Metal Gear Solid,Konami,2000-05-01
GBC,Mia Hamm Soccer Shootout,Southpeak Interactive,2000-10-01
GBC,Mickey's Racing Adventure,Nintendo,1999-11-01
GBC,Mickey's Speedway USA,Nintendo,2001-03-01
GBC,Micro Machines 1&2 Twin Turbo,THQ,2000-01-01
GBC,Micro Machines V3,THQ,2000-11-01
GBC,Microsoft Entertainment Pak,Classified Games,2001-06-01
GBC,Microsoft Pinball,Classified Games,2001-05-01
GBC,Microsoft Puzzle Collection,Classified Games,2000-10-01
GBC,Millennium Winter Sports,Konami,2000-04-01
GBC,Missile Command,Majesco,1999-09-01
GBC,Mission Impossible,Infogrames,2000-02-01
GBC,Monster Rancher Explorer,Tecmo,2000-10-01
GBC,Motocross Maniacs 2,Konami,1999-09-01
GBC,Mr. Driller,Namco,2000-08-01
GBC,Mr. Nutz,Infogrames,1999-12-01
GBC,MTV Sports: BMX,THQ,2000-12-01
GBC,MTV Sports: Pure Ride,THQ,2000-12-01
GBC,MTV Sports: Skateboarding,THQ,2000-08-01
GBC,NASCAR 2000,EA Sports,2000-07-01
GBC,NASCAR Challenge,Hasbro Interactive,1999-12-01
GBC,NASCAR Heat,Majesco,2000-12-01
GBC,NASCAR Racers,Majesco,2000-12-01
GBC,NBA Hoopz,Midway,2001-02-01
GBC,NBA Jam 2001,Electronic Arts,2000-12-01
GBC,NBA Showtime,Midway,2000-01-01
GBC,NFL Blitz 2000,Midway,1999-12-01
GBC,NFL Blitz 2001,Midway,2000-09-01
GBC,NHL Blades of Steel 2000,Konami,2000-04-01
GBC,NHL Blades of Steel 99,Konami,1999-05-01
GBC,Nicktoons Racing,Majesco,2000-12-01
GBC,NSYNC: Get to the Show,Infogrames,2001-12-01
GBC,Perfect Dark,Nintendo,2000-08-01
GBC,Playmobil Laura,Ubi Soft,2000-12-01
GBC,Pocket GT Racer,Interplay,
GBC,Pokemon Crystal,Nintendo,2001-07-01
GBC,Polaris Snocross,Vatical Entertainment,2000-02-01
GBC,Power Rangers : Time Force,THQ,2001-05-01
GBC,Power Rangers Lightspeed Rescue,THQ,2000-06-01
GBC,Power Spike Pro Beach Volleyball,Infogrames,2000-12-01
GBC,Powerpuff Girls: Bad Mojo,Bay Area Multimedia,2000-11-01
GBC,Powerpuff Girls: Battle Him,Bay Area Multimedia,2001-03-01
GBC,Powerpuff Girls: Paint the Town Greensville,Bay Area Multimedia,2000-11-01
