Console,Title,Licensee,Released
NES,10 Yard Fight,Nintendo,1985-10-01
NES,1942,Capcom,1986-11-01
NES,1943,Capcom,1988-10-01
NES,2-in-1 Super Mario Bros/Duck Hunt,Nintendo,1988-11-01
NES,2-in-1 Super Spike V'Ball/World Cup Soccer,Nintendo,1990-12-01
NES,3-D Worldrunner,Acclaim,1987-09-01
NES,3-in-1 Super Mario Bros/Duck Hunt/World Class Track Meet,Nintendo,1990-12-01
NES,720°,Mindscape,1989-11-01
NES,8 Eyes,Taxan,1990-01-01
NES,A Nightmare on Elm Street,LJN,1990-10-01
NES,Abadox,Milton Bradley,1990-03-01
NES,Advanced Dungeons & Dragons: Dragonstrike,FCI,1992-07-01
NES,Advanced Dungeons & Dragons: Heroes of the Lance,FCI,1991-01-01
NES,Advanced Dungeons & Dragons: Hillsfar,FCI,1993-02-01
NES,Advanced Dungeons & Dragons: Pool of Radiance,FCI,1992-04-01
NES,Adventure Island,Hudson Soft,1988-09-01
NES,Adventure Island II,Hudson Soft,1991-02-01
NES,Adventure Island III,Hudson Soft,1992-09-01
NES,Adventures in the Magic Kingdom,Capcom,1990-06-01
NES,Air Fortress,Hal America,1989-09-01
NES,Airwolf,Acclaim,1989-06-01
NES,Al Unser Jr.'s Turbo Racing,Data East,1990-03-01
NES,Alfred Chicken,Mindscape,1994-02-01
NES,Alien3,LJN,1993-03-01
NES,All Pro Basketball,Vic Tokai,1989-12-01
NES,Alpha Mission,SNK,1987-10-01
NES,Amagon,American Sammy,1989-04-01
NES,American Gladiators,Gametek,1991-10-01
NES,Anticipation,Nintendo,1988-11-01
NES,Arch Rivals: A Basket Brawl!,Acclaim,1990-11-01
NES,Archon,Activision,1989-12-01
NES,Arkanoid,Taito Software,1987-08-01
NES,Arkista's Ring,American Sammy,1990-06-01
NES,Astyanax,Jaleco,1990-03-01
NES,Athena,SNK,1987-08-01
NES,Athletic World,Bandai,1987-07-01
NES,Attack of the Killer Tomatoes,THQ,1992-01-01
NES,Back to the Future,LJN,1989-09-01
NES,Back to the Future II & III,LJN,1990-09-01
NES,Bad Dudes,Data East,1990-07-01
NES,Bad News Baseball,Tecmo,1990-06-01
NES,Bad Street Brawler,Mattel Inc.,1989-09-01
NES,Balloon Fight,Nintendo,1986-06-01
NES,Bandai Golf: Challenge Pebble Beach,Bandai,1989-02-01
NES,Bandit Kings of Ancient China,Koei,1990-12-01
NES,Barbie,Hi-Tech,1991-12-01
NES,Bard's Tale,FCI,1991-11-01
NES,Barker Bill's Trick Shooting,Nintendo,1990-08-01
NES,Base Wars - Cyber Stadium Series,Ultra Soft,1991-06-01
NES,Baseball,Nintendo,1985-10-01
NES,Baseball Simulator 1.000,Culture Brain,1990-03-01
NES,Baseball Stars,SNK,1989-07-01
NES,Baseball Stars II,Romstar,1992-07-01
NES,Bases Loaded,Jaleco,1988-07-01
NES,Bases Loaded II: Second Season,Jaleco,1990-01-01
NES,Bases Loaded III,Jaleco,1991-09-01
NES,Bases Loaded IV,Jaleco,1993-04-01
NES,Batman,Sunsoft,1990-02-01
NES,Batman Returns,Konami,1993-01-01
NES,Batman: Return of the Joker,Sunsoft,1991-12-01
NES,Battle Chess,Data East,1990-07-01
NES,Battle Tank,Absolute,1990-09-01
NES,Battleship,Mindscape,1993-09-01
NES,Battletoads,Tradewest,1991-06-01
NES,Battletoads & Double Dragon: The Ultimate Team,Tradewest,1993-06-01
NES,Beetlejuice,LJN,1991-05-01
NES,Best of the Best: Championship Karate,Electro Brain,1992-12-01
NES,Bigfoot,Acclaim,1990-07-01
NES,Bill & Ted's Excellent Video Game Adventure,LJN,1991-08-01
NES,Bill Elliot's Nascar Challenge,Konami,1991-04-01
NES,Bionic Commando,Capcom,1988-12-01
NES,Black Bass,Hot-B,1989-09-01
NES,Blades of Steel,Konami,1988-12-01
NES,Blaster Master,Sunsoft,1988-11-01
NES,Blue Marlin,Hot-B,1992-07-01
NES,Bo Jackson Baseball,Data East,1991-10-01
NES,Bomberman,Hudson Soft,1989-01-01
NES,Bomberman II,Hudson Soft,1993-02-01
NES,Bonk's Adventure,Hudson Soft,1994-01-01
NES,Boulder Dash,JVC,1990-06-01
NES,"Boy And His Blob, A",Absolute,1990-01-01
NES,Bram Stoker's Dracula,Sony Imagesoft,1993-09-01
NES,Break Time: The National Pool Tour,FCI,1993-01-01
NES,BreakThru,Data East,1987-11-01
NES,Bubble Bobble,Taito Software,1988-11-01
NES,Bubble Bobble: Part 2,Taito Software,1993-08-01
NES,Bucky O'Hare,Konami,1992-01-01
NES,Bump 'n' Jump,Vic Tokai,1988-12-01
NES,Burai Fighter,Taxan,1990-03-01
NES,Burgertime,Data East,1987-05-01
NES,Cabal,Milton Bradley,1990-06-01
NES,Caesar's Palace,Virgin Interactive,1992-12-01
NES,California Games,Milton Bradley,1989-06-01
NES,Captain America and the Avengers,Data East,1991-12-01
NES,Captain Planet,Mindscape,1991-09-01
NES,Captain Skyhawk,Milton Bradley,1990-06-01
NES,Casino Kid,Sofel,1989-10-01
NES,Casino Kid 2,Sofel,1993-04-01
NES,Castelian,Triffix,1991-06-01
NES,Castle of Dragon,Seta,1990-06-01
NES,Castlequest,Ascii,1989-09-01
NES,Castlevania,Konami,1987-05-01
NES,Castlevania II: Simon's Quest,Konami,1988-12-01
NES,Castlevania III: Dracula's Curse,Konami,1990-09-01
NES,Caveman Games,Data East,1990-10-01
NES,Championship Bowling,Romstar,1989-12-01
NES,Championship Pool,Mindscape,1993-10-01
NES,Chip 'N Dale: Rescue Rangers,Capcom,1990-06-01
NES,Chip 'N Dale: Rescue Rangers 2,Capcom,1994-01-01
NES,Chubby Cherub,Bandai,1986-10-01
NES,Circus Caper,Toho,1990-07-01
NES,City Connection,Jaleco,1988-05-01
NES,Clash at Demonhead,Vic Tokai,1990-01-01
NES,Classic Concentration,Gametek,1990-09-01
NES,Cliffhanger,Sony Imagesoft,1993-11-01
NES,Clu Clu Land,Nintendo,1985-10-01
NES,Cobra Command,Data East,1988-11-01
NES,Cobra Triangle,Nintendo,1989-07-01
NES,Code Name: Viper,Capcom,1990-03-01
NES,Color a Dinosaur,Virgin Interactive,1993-07-01
NES,Commando,Capcom,1986-11-01
NES,Conan: The Mysteries of Time,Mindscape,1991-02-01
NES,Conflict,Vic Tokai,1990-03-01
NES,Conquest of the Crystal Palace,Asmik,1990-11-01
NES,Contra,Konami,1988-02-01
NES,Contra Force,Konami,1992-09-01
NES,Cool World,Ocean,1993-06-01
NES,Cowboy Kid,Romstar,1992-01-01
NES,Crash 'n the Boys: Street Challenge,American Technos,1992-10-01
NES,Crystalis,SNK,1990-07-01
